subject_id,jack has at least average strength for a beginner player,jack has at least average strength for a mid-level player,jack has at least average strength for a novice player,jack has at least average strength for a professional player,jack has at least average strength for an expert player,jack has at least average strength for an intermediate player,jack has at least average strength for someone new to the game,jack has at least average strength for someone with a bit of experience,jack has at least average strength for someone with many years of experience,jack is very strong for a beginner player,jack is very strong for a mid-level player,jack is very strong for a novice player,jack is very strong for a professional player,jack is very strong for an expert player,jack is very strong for an intermediate player,jack is very strong for someone new to the game,jack is very strong for someone with a bit of experience,jack is very strong for someone with many years of experience
56378ab0dc62e5000acb3fa7,30.0,50.0,30.0,70.0,80.0,50.0,30.0,30.0,70.0,40.0,60.0,40.0,90.0,100.0,60.0,40.0,40.0,80.0
56896501d3d6a7000ca23da8,30.0,50.0,50.0,70.0,70.0,50.0,30.0,50.0,70.0,40.0,60.0,60.0,90.0,90.0,60.0,40.0,60.0,90.0
5701793b917228000f8dc974,30.0,50.0,30.0,70.0,70.0,50.0,30.0,50.0,50.0,40.0,60.0,40.0,90.0,80.0,60.0,40.0,50.0,60.0
57e508cec3e5930001447391,20.0,40.0,20.0,60.0,60.0,40.0,30.0,40.0,60.0,50.0,50.0,40.0,80.0,40.0,60.0,30.0,50.0,60.0
59aa76bf9fdf6c0001cba82f,30.0,50.0,30.0,70.0,70.0,50.0,30.0,50.0,70.0,40.0,60.0,40.0,90.0,90.0,60.0,40.0,60.0,90.0
5abf31f8436f550001ffa822,30.0,60.0,30.0,70.0,70.0,50.0,30.0,50.0,60.0,40.0,70.0,40.0,90.0,90.0,70.0,50.0,70.0,90.0
5bdd4dba80dd620001b15d81,20.0,40.0,20.0,60.0,60.0,40.0,20.0,40.0,60.0,20.0,40.0,20.0,60.0,60.0,40.0,20.0,40.0,60.0
5c26ac6163e1d8000103824f,30.0,30.0,30.0,70.0,70.0,50.0,30.0,60.0,60.0,40.0,50.0,40.0,70.0,70.0,50.0,30.0,50.0,70.0
5c9c9b9ffd16b8000173c935,30.0,50.0,30.0,70.0,70.0,50.0,30.0,30.0,70.0,50.0,70.0,50.0,90.0,90.0,70.0,40.0,40.0,90.0
5cab5978b98ee20017d6f87c,30.0,50.0,30.0,70.0,70.0,50.0,30.0,50.0,60.0,40.0,70.0,50.0,90.0,90.0,60.0,50.0,40.0,60.0
