subject_id,jack has at least average strength,jack has at most average strength,jack is not so strong,jack is not so weak,jack is not strong,jack is not that strong,jack is not that weak,jack is not very strong,jack is not very weak,jack is not weak,jack is pretty strong,jack is pretty weak,jack is somewhat strong,jack is somewhat weak,jack is strong,jack is very strong,jack is very weak,jack is weak
559e82dffdf99b7a9a124180,20.0,50.0,40.0,40.0,30.0,40.0,30.0,40.0,30.0,40.0,60.0,30.0,40.0,40.0,60.0,80.0,20.0,20.0
57843b986475d400015a8e45,50.0,50.0,30.0,40.0,40.0,40.0,30.0,30.0,40.0,50.0,70.0,30.0,60.0,30.0,60.0,70.0,20.0,20.0
5b26a30a007d870001c7caa7,50.0,50.0,40.0,50.0,30.0,40.0,30.0,40.0,40.0,50.0,60.0,30.0,60.0,30.0,60.0,70.0,20.0,20.0
5b9f8b4243bf0500015deb50,20.0,50.0,30.0,40.0,10.0,30.0,70.0,30.0,80.0,80.0,70.0,20.0,70.0,30.0,70.0,80.0,0.0,0.0
5bc06ed838a7a50001f339c7,50.0,50.0,50.0,30.0,30.0,40.0,30.0,40.0,50.0,40.0,60.0,20.0,60.0,30.0,70.0,80.0,10.0,20.0
5bc6e0f93808a50001649d75,50.0,50.0,40.0,40.0,30.0,40.0,30.0,40.0,40.0,30.0,60.0,30.0,30.0,30.0,60.0,80.0,20.0,20.0
5d211227bdbc65001b7ace0a,50.0,50.0,40.0,50.0,40.0,30.0,50.0,40.0,50.0,60.0,70.0,20.0,50.0,40.0,80.0,90.0,10.0,10.0
5d36022a6ce8ce0018c40375,50.0,50.0,60.0,20.0,50.0,60.0,30.0,40.0,20.0,40.0,60.0,20.0,60.0,40.0,70.0,70.0,10.0,30.0
5e73c7a5d302e933a4a51bd8,40.0,50.0,20.0,30.0,0.0,20.0,40.0,20.0,50.0,30.0,50.0,10.0,50.0,30.0,50.0,80.0,0.0,0.0
5e8e474ffacc7d10481f2f15,50.0,50.0,40.0,40.0,10.0,40.0,30.0,40.0,30.0,40.0,60.0,30.0,60.0,20.0,70.0,70.0,10.0,20.0
5e9217ae73c54f553335fb28,50.0,50.0,70.0,40.0,40.0,60.0,30.0,70.0,40.0,50.0,70.0,40.0,60.0,40.0,60.0,80.0,20.0,30.0
5ec69dd07a32d209b1f45144,50.0,40.0,30.0,50.0,30.0,50.0,30.0,40.0,30.0,50.0,60.0,20.0,60.0,20.0,70.0,80.0,10.0,20.0
5f2287f5027b287461cfe0bd,50.0,50.0,70.0,30.0,50.0,60.0,30.0,40.0,30.0,40.0,50.0,40.0,50.0,40.0,60.0,80.0,30.0,30.0
5f53b958c8cfea6e2104c5b6,50.0,50.0,50.0,60.0,20.0,30.0,50.0,40.0,60.0,60.0,60.0,30.0,60.0,40.0,70.0,80.0,10.0,20.0
5f86de2dc329e0030106fa1a,50.0,50.0,50.0,30.0,40.0,60.0,40.0,40.0,50.0,50.0,60.0,30.0,40.0,30.0,50.0,60.0,20.0,30.0
5fb19bc7756c376ae2118013,50.0,50.0,40.0,40.0,30.0,40.0,40.0,30.0,30.0,40.0,70.0,20.0,60.0,30.0,70.0,80.0,10.0,30.0
60b5f044624955596fa12121,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,40.0,50.0,60.0,30.0,60.0,40.0,70.0,70.0,20.0,30.0
60d52a01f1c4a2b8cf2d75cb,50.0,50.0,40.0,20.0,30.0,40.0,20.0,50.0,30.0,40.0,40.0,20.0,30.0,40.0,50.0,70.0,10.0,20.0
60fdf77d259c79695ae931e2,60.0,50.0,30.0,50.0,40.0,40.0,40.0,30.0,40.0,60.0,60.0,30.0,60.0,40.0,60.0,70.0,20.0,30.0
60ff016cc69d2c3277c65790,50.0,50.0,30.0,30.0,20.0,40.0,30.0,30.0,20.0,50.0,40.0,20.0,60.0,30.0,80.0,70.0,10.0,10.0
6110d0f069bfd7702ebabba2,50.0,50.0,40.0,50.0,40.0,50.0,60.0,40.0,60.0,60.0,80.0,10.0,60.0,30.0,70.0,80.0,10.0,20.0
61258af1a4035a40b89dac00,50.0,50.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,60.0,60.0,10.0,40.0,30.0,70.0,70.0,10.0,20.0
6266b0ca23cc05835f1db013,50.0,40.0,20.0,50.0,20.0,30.0,50.0,20.0,60.0,60.0,60.0,20.0,50.0,20.0,60.0,70.0,10.0,20.0
6295270587394aac7ce600db,50.0,50.0,40.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,80.0,10.0,60.0,30.0,70.0,90.0,10.0,20.0
62a71ce6a09aa213bd5c3de9,30.0,60.0,40.0,40.0,40.0,50.0,50.0,30.0,70.0,40.0,60.0,40.0,50.0,40.0,30.0,70.0,20.0,30.0
62a72325b590055456f16101,50.0,50.0,20.0,60.0,20.0,50.0,60.0,30.0,70.0,80.0,70.0,30.0,50.0,30.0,80.0,80.0,10.0,10.0
62e6b8e474c98b1aa8ad01e1,50.0,50.0,40.0,20.0,30.0,30.0,30.0,40.0,30.0,40.0,60.0,20.0,60.0,30.0,70.0,80.0,10.0,20.0
6303a98078e84e9810875fdd,50.0,50.0,60.0,40.0,50.0,60.0,40.0,60.0,30.0,40.0,60.0,40.0,60.0,50.0,70.0,70.0,30.0,40.0
634d74b0b8917e37bf2f0721,50.0,40.0,30.0,70.0,0.0,40.0,40.0,20.0,70.0,90.0,90.0,30.0,60.0,40.0,100.0,90.0,10.0,30.0
